epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6687,1.80922,3.32659,1.64895,0.05593,0.31524,0.03945,0.021,1.33793,3.30826,1.13526,8e-05,8e-05,8e-05
2,20.3534,1.6239,3.1621,1.46857,0.0887,0.5,0.07791,0.0433,1.44874,3.25682,1.14196,0.000178218,0.000178218,0.000178218
3,30.8136,1.56116,2.89496,1.37726,0.10315,0.58142,0.11667,0.06052,1.48566,3.19739,1.14424,0.000274456,0.000274456,0.000274456
4,41.4182,1.5226,2.64493,1.33097,0.08407,0.4739,0.10765,0.05376,1.60613,3.16667,1.17935,0.000368714,0.000368714,0.000368714
5,51.4512,1.65354,2.44814,1.42148,0.09444,0.53236,0.12277,0.05782,1.65004,3.05805,1.1743,0.000460992,0.000460992,0.000460992
6,60.4455,1.66893,2.25149,1.41453,0.10833,0.61065,0.13753,0.07196,1.44245,3.05765,1.10011,0.00055129,0.00055129,0.00055129
7,69.6891,1.66877,2.08911,1.33293,0.09907,0.55846,0.12705,0.06674,1.53773,2.99116,1.137,0.000639608,0.000639608,0.000639608
8,79.1647,1.72204,1.80792,1.36445,0.05907,0.33299,0.10198,0.05586,1.45246,2.94012,1.11377,0.000725946,0.000725946,0.000725946
9,88.6074,1.67825,1.73551,1.39387,0.07352,0.41441,0.12005,0.06527,1.49207,2.86629,1.15161,0.000810304,0.000810304,0.000810304
10,97.9767,1.63777,1.63358,1.37724,0.085,0.47912,0.11483,0.05928,1.47381,2.84809,1.17336,0.000892682,0.000892682,0.000892682
11,107.608,1.57805,1.50045,1.31802,0.11074,0.62422,0.1656,0.08755,1.49945,2.54665,1.18076,0.00097308,0.00097308,0.00097308
12,116.933,1.47476,1.40895,1.28833,0.1437,0.81002,0.28288,0.14638,1.52912,2.2384,1.18249,0.0010515,0.0010515,0.0010515
13,126.075,1.49651,1.38734,1.34508,0.38935,0.5501,0.36047,0.19344,1.50525,2.05007,1.16056,0.00112794,0.00112794,0.00112794
14,135.513,1.55163,1.43539,1.36978,0.59011,0.43581,0.47704,0.25646,1.58274,1.87605,1.21398,0.00120239,0.00120239,0.00120239
15,144.534,1.59856,1.44273,1.40592,0.56785,0.55688,0.54054,0.29709,1.46597,1.62379,1.18986,0.00127487,0.00127487,0.00127487
16,153.77,1.54131,1.36315,1.32031,0.56679,0.54906,0.52348,0.28397,1.56325,1.50481,1.24215,0.00134537,0.00134537,0.00134537
17,163.004,1.52592,1.38189,1.36395,0.57642,0.55115,0.5576,0.32184,1.43724,1.37123,1.21464,0.00141389,0.00141389,0.00141389
18,172.164,1.52054,1.34825,1.30733,0.49282,0.55115,0.46977,0.27004,1.51509,1.37052,1.22456,0.00148043,0.00148043,0.00148043
19,181.108,1.50513,1.32188,1.31493,0.61029,0.54384,0.5592,0.30995,1.54504,1.29509,1.23127,0.00154498,0.00154498,0.00154498
20,189.774,1.49103,1.32859,1.3253,0.57178,0.63048,0.60168,0.34686,1.4596,1.25097,1.21167,0.00160756,0.00160756,0.00160756
21,198.292,1.52202,1.31228,1.32263,0.5372,0.57933,0.53871,0.28801,1.61826,1.33948,1.33069,0.001604,0.001604,0.001604
22,206.893,1.44181,1.27651,1.31331,0.54565,0.59708,0.57211,0.31859,1.47575,1.27163,1.2237,0.0015842,0.0015842,0.0015842
23,215.361,1.42306,1.24056,1.2963,0.57645,0.59603,0.58637,0.34707,1.36814,1.22677,1.17715,0.0015644,0.0015644,0.0015644
24,224.054,1.50848,1.2835,1.31543,0.58285,0.58768,0.58462,0.32533,1.51326,1.25178,1.25791,0.0015446,0.0015446,0.0015446
25,232.474,1.41817,1.23277,1.26532,0.5814,0.54802,0.55831,0.31466,1.46998,1.26714,1.23738,0.0015248,0.0015248,0.0015248
26,240.927,1.44812,1.24918,1.28015,0.5789,0.59603,0.59401,0.35288,1.39348,1.21953,1.19233,0.001505,0.001505,0.001505
27,249.466,1.53731,1.27922,1.32506,0.60848,0.57203,0.59414,0.35274,1.39994,1.21558,1.19427,0.0014852,0.0014852,0.0014852
28,258.021,1.48283,1.28626,1.33148,0.57008,0.5261,0.55709,0.31241,1.46977,1.25333,1.21589,0.0014654,0.0014654,0.0014654
