epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3431.13,1.03921,0.80421,1.34422,0.8156,0.83418,0.87298,0.64029,0.35753,0.85216,0.35154,0.007921,0.007921,0.007921
44,3510.37,1.03044,0.80724,1.33878,0.82098,0.83217,0.86925,0.6319,0.34704,1.47283,0.34509,0.0078715,0.0078715,0.0078715
45,3589.57,1.02165,0.79785,1.33223,0.82264,0.83779,0.88612,0.64761,0.35507,1.90653,0.34612,0.007822,0.007822,0.007822
46,3669.6,1.01781,0.78758,1.3272,0.81504,0.82328,0.87352,0.6308,0.35663,1.31658,0.35069,0.0077725,0.0077725,0.0077725
47,3748.89,1.00845,0.78206,1.32142,0.81547,0.82573,0.87034,0.63806,0.36381,0.33917,0.3482,0.007723,0.007723,0.007723
48,3828.28,0.99499,0.76825,1.31236,0.76872,0.8315,0.85848,0.62821,0.36045,0.68565,0.3523,0.0076735,0.0076735,0.0076735
49,3907.66,0.99461,0.76573,1.3093,0.84901,0.76088,0.84382,0.61761,0.35604,1.77821,0.34746,0.007624,0.007624,0.007624
50,3987,0.989,0.75782,1.30413,0.89458,0.75585,0.87477,0.63188,0.35731,1.09414,0.35054,0.0075745,0.0075745,0.0075745
51,4066.32,0.97157,0.74486,1.29426,0.84974,0.82174,0.86717,0.63878,0.35684,0.5803,0.35101,0.007525,0.007525,0.007525
52,4145.55,0.97418,0.74775,1.29485,0.81568,0.80484,0.86048,0.63785,0.35078,0.64073,0.34872,0.0074755,0.0074755,0.0074755
53,4224.76,0.96746,0.7331,1.28514,0.83506,0.84708,0.87002,0.64544,0.35044,0.74239,0.3461,0.007426,0.007426,0.007426
54,4304.13,0.95573,0.72512,1.27606,0.8163,0.82044,0.86309,0.64389,0.35227,0.68617,0.34695,0.0073765,0.0073765,0.0073765
55,4383.6,0.95538,0.72543,1.27904,0.82707,0.83977,0.87032,0.65487,0.35106,0.66475,0.34895,0.007327,0.007327,0.007327
56,4463.76,0.94685,0.72274,1.26792,0.8175,0.86919,0.87258,0.65192,0.3542,0.69408,0.35231,0.0072775,0.0072775,0.0072775
57,4543.1,0.9395,0.71341,1.26966,0.83793,0.85323,0.8892,0.66737,0.34958,0.66232,0.34958,0.007228,0.007228,0.007228
58,4622.99,0.93558,0.70981,1.26759,0.85045,0.83343,0.87278,0.64096,0.35773,0.47472,0.35559,0.0071785,0.0071785,0.0071785
59,4702.17,0.93144,0.70757,1.26135,0.86663,0.80781,0.86735,0.63388,0.35109,1.30178,0.35516,0.007129,0.007129,0.007129
60,4781.41,0.92878,0.69855,1.25884,0.86467,0.84086,0.89477,0.66897,0.34455,0.53107,0.34842,0.0070795,0.0070795,0.0070795
61,4881.85,0.92216,0.69166,1.2452,0.81589,0.86994,0.88107,0.66465,0.34493,0.2852,0.34571,0.00703,0.00703,0.00703
62,4961.26,0.91423,0.68541,1.24679,0.82527,0.83579,0.87549,0.66035,0.33986,0.41246,0.34794,0.0069805,0.0069805,0.0069805
63,5040.46,0.91108,0.68837,1.2492,0.82972,0.87027,0.87858,0.66782,0.33253,0.49154,0.34109,0.006931,0.006931,0.006931
64,5119.6,0.90556,0.68274,1.24401,0.8287,0.84591,0.87853,0.67387,0.33211,0.68441,0.34236,0.0068815,0.0068815,0.0068815
65,5199.53,0.90027,0.67491,1.2324,0.81703,0.87153,0.8831,0.6654,0.34318,0.67942,0.34999,0.006832,0.006832,0.006832
66,5278.64,0.8831,0.66374,1.22611,0.81725,0.85232,0.87931,0.64939,0.34854,1.13975,0.3548,0.0067825,0.0067825,0.0067825
