epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3162.92,0.96554,0.71421,1.25626,0.84505,0.7994,0.87671,0.64053,0.3487,0.89951,0.32725,0.007921,0.007921,0.007921
44,3235.64,0.96197,0.717,1.25934,0.86488,0.8219,0.88221,0.64148,0.36641,0.81866,0.34114,0.0078715,0.0078715,0.0078715
45,3308.26,0.95069,0.70825,1.25195,0.79959,0.84509,0.86608,0.62802,0.36237,1.30846,0.33277,0.007822,0.007822,0.007822
46,3381.02,0.94691,0.7002,1.24483,0.8192,0.84741,0.88105,0.64572,0.35683,0.42959,0.33909,0.0077725,0.0077725,0.0077725
47,3455.05,0.93696,0.69161,1.24098,0.89923,0.80017,0.90214,0.65526,0.36391,0.65261,0.34519,0.007723,0.007723,0.007723
48,3528.75,0.92274,0.68269,1.23379,0.80738,0.82997,0.88364,0.64635,0.3648,0.48007,0.34808,0.0076735,0.0076735,0.0076735
49,3601.46,0.92139,0.67693,1.22918,0.86566,0.80398,0.88876,0.63201,0.3684,1.67828,0.34975,0.007624,0.007624,0.007624
50,3674.15,0.91208,0.67062,1.2254,0.86075,0.80889,0.89027,0.65228,0.36334,1.3065,0.3452,0.0075745,0.0075745,0.0075745
51,3746.92,0.90072,0.65795,1.21221,0.79263,0.85985,0.87611,0.63123,0.37745,0.56417,0.35123,0.007525,0.007525,0.007525
52,3819.66,0.90025,0.65943,1.20941,0.8113,0.83441,0.87101,0.63024,0.36723,0.59139,0.34887,0.0074755,0.0074755,0.0074755
53,3892.42,0.89193,0.64694,1.2049,0.83822,0.823,0.88257,0.64057,0.36868,0.60116,0.34687,0.007426,0.007426,0.007426
54,3965.1,0.88038,0.6394,1.1963,0.82077,0.86217,0.87431,0.64021,0.36082,1.00087,0.34445,0.0073765,0.0073765,0.0073765
55,4037.88,0.87966,0.64042,1.19682,0.83793,0.84066,0.87604,0.64784,0.36238,0.49278,0.34212,0.007327,0.007327,0.007327
56,4110.63,0.8704,0.63417,1.18653,0.84693,0.85962,0.89719,0.65314,0.36365,0.49992,0.34452,0.0072775,0.0072775,0.0072775
57,4183.45,0.864,0.63001,1.18856,0.88625,0.8186,0.88694,0.65445,0.35355,1.08624,0.33071,0.007228,0.007228,0.007228
58,4256.18,0.8599,0.62532,1.1849,0.89096,0.82051,0.88635,0.64647,0.35193,0.47905,0.33335,0.0071785,0.0071785,0.0071785
59,4329,0.85198,0.61937,1.17416,0.85192,0.85312,0.88081,0.62966,0.36055,0.39979,0.34062,0.007129,0.007129,0.007129
60,4401.89,0.84612,0.61218,1.17199,0.82679,0.86954,0.89024,0.65738,0.35605,0.52482,0.3418,0.0070795,0.0070795,0.0070795
61,4475.83,0.84116,0.60438,1.16598,0.83715,0.88809,0.89479,0.66778,0.36368,0.26988,0.34468,0.00703,0.00703,0.00703
62,4549.83,0.83485,0.60412,1.16634,0.8589,0.85432,0.899,0.66077,0.36252,0.21536,0.34203,0.0069805,0.0069805,0.0069805
63,4622.53,0.83163,0.60198,1.16591,0.87484,0.846,0.89863,0.65516,0.36344,0.40498,0.34783,0.006931,0.006931,0.006931
64,4695.43,0.81938,0.5972,1.15915,0.85699,0.87007,0.90864,0.66512,0.35603,0.36077,0.34605,0.0068815,0.0068815,0.0068815
65,4768.12,0.81825,0.59269,1.1535,0.8685,0.83675,0.90459,0.67018,0.35919,0.44015,0.34178,0.006832,0.006832,0.006832
66,4841.77,0.80193,0.57872,1.14815,0.84005,0.85752,0.88841,0.64597,0.36242,0.62565,0.3465,0.0067825,0.0067825,0.0067825
67,4935.48,0.8054,0.58252,1.14715,0.82126,0.86572,0.88304,0.64657,0.35511,0.43644,0.34252,0.006733,0.006733,0.006733
68,5008.3,0.7991,0.57458,1.13919,0.90423,0.79773,0.89288,0.65555,0.36229,0.25418,0.34616,0.0066835,0.0066835,0.0066835
69,5081,0.79834,0.58,1.14005,0.85379,0.82164,0.88778,0.65175,0.35715,0.43453,0.34529,0.006634,0.006634,0.006634
70,5153.96,0.79429,0.57088,1.13923,0.85982,0.8574,0.90061,0.66403,0.36279,0.29047,0.34746,0.0065845,0.0065845,0.0065845
71,5226.73,0.78686,0.56439,1.13063,0.81025,0.85392,0.87848,0.66045,0.3537,0.2717,0.34078,0.006535,0.006535,0.006535
72,5299.51,0.78036,0.56156,1.13265,0.7961,0.88642,0.88342,0.66237,0.35617,0.34498,0.34195,0.0064855,0.0064855,0.0064855
73,5372.18,0.78056,0.5566,1.12664,0.81769,0.86906,0.89744,0.6588,0.3575,0.29285,0.34514,0.006436,0.006436,0.006436
74,5444.9,0.77668,0.55513,1.12562,0.86391,0.86278,0.89664,0.66821,0.35176,0.19796,0.34017,0.0063865,0.0063865,0.0063865
75,5517.63,0.77001,0.55446,1.12545,0.83643,0.86361,0.89591,0.66745,0.35203,0.25127,0.33746,0.006337,0.006337,0.006337
76,5590.54,0.76232,0.54933,1.11702,0.86612,0.865,0.90813,0.67363,0.34728,0.27286,0.33783,0.0062875,0.0062875,0.0062875
77,5664.25,0.75842,0.54379,1.11197,0.8475,0.88558,0.91082,0.67891,0.34943,0.33506,0.34366,0.006238,0.006238,0.006238
78,5738.03,0.75956,0.54275,1.11563,0.85073,0.87049,0.89995,0.6699,0.34885,0.30875,0.34462,0.0061885,0.0061885,0.0061885
79,5810.76,0.75638,0.54355,1.10686,0.83301,0.86047,0.89168,0.6638,0.35288,0.4803,0.34796,0.006139,0.006139,0.006139
80,5883.65,0.75834,0.54293,1.11756,0.83785,0.86561,0.88416,0.66338,0.35353,0.60149,0.34785,0.0060895,0.0060895,0.0060895
81,5956.64,0.74886,0.53616,1.10935,0.81166,0.88037,0.88865,0.66394,0.3509,0.54866,0.34505,0.00604,0.00604,0.00604
82,6029.56,0.7433,0.53669,1.1085,0.87837,0.83648,0.88436,0.65661,0.3525,0.27152,0.34612,0.0059905,0.0059905,0.0059905
83,6102.37,0.74035,0.52882,1.10205,0.83162,0.88425,0.88652,0.66129,0.35244,0.41921,0.34539,0.005941,0.005941,0.005941
84,6175.08,0.73871,0.52999,1.10155,0.8484,0.87761,0.89427,0.66537,0.35169,0.56756,0.34663,0.0058915,0.0058915,0.0058915
85,6247.77,0.73261,0.52478,1.09687,0.84065,0.87232,0.89978,0.67106,0.35323,0.60451,0.34918,0.005842,0.005842,0.005842
86,6320.55,0.73092,0.5265,1.09798,0.84228,0.87523,0.89752,0.66793,0.35267,0.49848,0.3482,0.0057925,0.0057925,0.0057925
87,6393.53,0.72598,0.51943,1.09,0.83187,0.88062,0.89886,0.67258,0.35038,0.44971,0.34845,0.005743,0.005743,0.005743
88,6466.24,0.72302,0.51975,1.09473,0.8521,0.86973,0.89951,0.6706,0.34765,0.32379,0.34698,0.0056935,0.0056935,0.0056935
89,6538.96,0.71587,0.51202,1.08753,0.85281,0.87224,0.89716,0.67033,0.34707,0.19776,0.34917,0.005644,0.005644,0.005644
90,6611.66,0.71543,0.51119,1.09037,0.85837,0.85871,0.89693,0.67045,0.34854,0.1888,0.34807,0.0055945,0.0055945,0.0055945
91,6684.45,0.71213,0.5065,1.083,0.85919,0.86663,0.89876,0.6725,0.34846,0.18444,0.34859,0.005545,0.005545,0.005545
92,6757.3,0.70671,0.50595,1.08212,0.86918,0.86853,0.90572,0.67986,0.34303,0.19052,0.34531,0.0054955,0.0054955,0.0054955
93,6831.22,0.70647,0.50403,1.08579,0.85884,0.8752,0.90582,0.67848,0.34399,0.19514,0.34508,0.005446,0.005446,0.005446
94,6904.01,0.69833,0.50163,1.07995,0.8656,0.85476,0.89748,0.67928,0.34608,0.18522,0.34799,0.0053965,0.0053965,0.0053965
95,6976.66,0.69454,0.49537,1.07376,0.85502,0.86498,0.89913,0.67704,0.34582,0.17798,0.35037,0.005347,0.005347,0.005347
96,7049.36,0.69505,0.50205,1.07717,0.86142,0.87044,0.90432,0.68225,0.34773,0.17448,0.35192,0.0052975,0.0052975,0.0052975
97,7123.1,0.6933,0.49387,1.07161,0.86296,0.87523,0.90989,0.68691,0.34962,0.17012,0.35327,0.005248,0.005248,0.005248
98,7197.11,0.69242,0.49509,1.07598,0.86415,0.87784,0.9108,0.68706,0.35094,0.17095,0.35332,0.0051985,0.0051985,0.0051985
99,7270.77,0.67912,0.48868,1.0699,0.85569,0.87913,0.90523,0.682,0.3534,0.18761,0.3548,0.005149,0.005149,0.005149
100,7343.49,0.68201,0.48735,1.06664,0.86434,0.86451,0.90407,0.6779,0.35459,0.20762,0.35642,0.0050995,0.0050995,0.0050995
101,7416.07,0.6742,0.48496,1.06577,0.8686,0.86644,0.90291,0.68104,0.35516,0.20797,0.35549,0.00505,0.00505,0.00505
102,7488.91,0.67705,0.48333,1.06253,0.87149,0.86809,0.89984,0.67781,0.35496,0.19361,0.35583,0.0050005,0.0050005,0.0050005
103,7561.83,0.67236,0.48116,1.06244,0.88503,0.85344,0.89988,0.6793,0.35522,0.18585,0.35588,0.004951,0.004951,0.004951
104,7634.77,0.66429,0.47487,1.05535,0.8891,0.8639,0.90196,0.67764,0.35473,0.19741,0.35635,0.0049015,0.0049015,0.0049015
105,7707.46,0.67499,0.48414,1.06437,0.89276,0.86751,0.90399,0.68249,0.35557,0.2243,0.35726,0.004852,0.004852,0.004852
106,7780.17,0.66546,0.47607,1.05642,0.89103,0.85935,0.90361,0.68469,0.35597,0.22259,0.35593,0.0048025,0.0048025,0.0048025
107,7852.85,0.6669,0.4723,1.05726,0.87584,0.86783,0.90338,0.68516,0.35494,0.24671,0.35484,0.004753,0.004753,0.004753
108,7925.72,0.65624,0.46949,1.0525,0.8717,0.86886,0.90055,0.68214,0.35555,0.25345,0.35476,0.0047035,0.0047035,0.0047035
109,7998.49,0.65713,0.46667,1.05233,0.86995,0.86222,0.90093,0.68298,0.35474,0.23904,0.35395,0.004654,0.004654,0.004654
110,8071.35,0.64718,0.46037,1.04328,0.85666,0.88038,0.89843,0.68425,0.35318,0.24691,0.3523,0.0046045,0.0046045,0.0046045
111,8144.05,0.64815,0.46026,1.04513,0.86103,0.88012,0.8996,0.68564,0.35193,0.22842,0.35216,0.004555,0.004555,0.004555
112,8216.78,0.64701,0.46275,1.046,0.85679,0.87191,0.8983,0.68766,0.35249,0.21816,0.35269,0.0045055,0.0045055,0.0045055
113,8289.44,0.63766,0.45545,1.04377,0.87703,0.85016,0.89879,0.68593,0.35194,0.2253,0.35315,0.004456,0.004456,0.004456
114,8362.12,0.6401,0.45938,1.04197,0.88821,0.83636,0.90014,0.69159,0.35224,0.2444,0.35393,0.0044065,0.0044065,0.0044065
115,8435.99,0.63987,0.45881,1.04437,0.87796,0.8498,0.89949,0.69011,0.3512,0.24913,0.35343,0.004357,0.004357,0.004357
116,8508.87,0.63516,0.45414,1.04173,0.87232,0.8632,0.90107,0.68935,0.35165,0.2306,0.35421,0.0043075,0.0043075,0.0043075
117,8581.48,0.63337,0.4517,1.03973,0.8718,0.86132,0.90278,0.691,0.35217,0.21895,0.35536,0.004258,0.004258,0.004258
118,8654.24,0.62921,0.44804,1.03447,0.87738,0.86048,0.90192,0.69289,0.35189,0.2135,0.35531,0.0042085,0.0042085,0.0042085
119,8728.07,0.62833,0.4466,1.03486,0.88172,0.85384,0.89947,0.68967,0.352,0.21182,0.35538,0.004159,0.004159,0.004159
120,8800.81,0.62637,0.44644,1.03328,0.86229,0.87519,0.90191,0.68971,0.35197,0.21055,0.35648,0.0041095,0.0041095,0.0041095
121,8873.52,0.6186,0.44213,1.02975,0.86307,0.87496,0.90257,0.69153,0.35232,0.21277,0.35707,0.00406,0.00406,0.00406
122,8946.55,0.62081,0.44263,1.03173,0.86177,0.87658,0.90131,0.6908,0.35286,0.21173,0.35795,0.0040105,0.0040105,0.0040105
123,9019.17,0.62213,0.44394,1.03277,0.87292,0.87697,0.90219,0.6935,0.3523,0.21273,0.35714,0.003961,0.003961,0.003961
124,9092.91,0.61492,0.43882,1.02981,0.86828,0.8756,0.90045,0.69144,0.35205,0.22261,0.35737,0.0039115,0.0039115,0.0039115
125,9165.61,0.61653,0.44043,1.02724,0.85605,0.88,0.89983,0.69329,0.35254,0.23244,0.35824,0.003862,0.003862,0.003862
126,9238.4,0.61225,0.4366,1.02732,0.85502,0.87627,0.89958,0.69287,0.35188,0.24287,0.35825,0.0038125,0.0038125,0.0038125
127,9311.23,0.59755,0.42887,1.01863,0.86917,0.8549,0.89945,0.69344,0.35201,0.24858,0.35789,0.003763,0.003763,0.003763
128,9383.94,0.60363,0.4321,1.02732,0.86366,0.85691,0.89943,0.69371,0.35223,0.24935,0.35849,0.0037135,0.0037135,0.0037135
129,9456.6,0.60853,0.43219,1.02764,0.86964,0.8578,0.89958,0.69549,0.35213,0.24169,0.35855,0.003664,0.003664,0.003664
130,9530.28,0.60664,0.42894,1.02066,0.87083,0.85932,0.89862,0.69399,0.35184,0.23278,0.35814,0.0036145,0.0036145,0.0036145
131,9602.98,0.59643,0.42456,1.01685,0.87067,0.86157,0.89843,0.69398,0.35146,0.22351,0.35814,0.003565,0.003565,0.003565
132,9675.73,0.59056,0.42116,1.01652,0.86881,0.8625,0.89868,0.69473,0.35187,0.21794,0.35884,0.0035155,0.0035155,0.0035155
133,9748.37,0.59113,0.4201,1.01813,0.86224,0.86976,0.89861,0.69525,0.35141,0.21701,0.35914,0.003466,0.003466,0.003466
134,9821.08,0.58751,0.421,1.01545,0.86271,0.86758,0.89815,0.6959,0.35179,0.21981,0.35979,0.0034165,0.0034165,0.0034165
135,9894.74,0.59276,0.42264,1.01702,0.86241,0.87211,0.89662,0.69465,0.35129,0.22135,0.35985,0.003367,0.003367,0.003367
136,9967.43,0.58295,0.41591,1.01233,0.85481,0.87753,0.8965,0.69401,0.3514,0.21966,0.35999,0.0033175,0.0033175,0.0033175
137,10040.1,0.58475,0.41445,1.00799,0.86285,0.87959,0.89723,0.69478,0.3512,0.2159,0.3604,0.003268,0.003268,0.003268
138,10112.9,0.58495,0.41583,1.01236,0.85994,0.88122,0.89746,0.69342,0.35134,0.20913,0.36079,0.0032185,0.0032185,0.0032185
139,10185.5,0.57433,0.41347,1.00765,0.86014,0.88221,0.89758,0.69703,0.35144,0.20671,0.36106,0.003169,0.003169,0.003169
140,10259.3,0.57621,0.41133,1.00701,0.85458,0.88306,0.89727,0.69717,0.35128,0.20814,0.36132,0.0031195,0.0031195,0.0031195
141,10333.3,0.5731,0.40818,1.00486,0.85437,0.88341,0.89749,0.6971,0.35091,0.2038,0.3615,0.00307,0.00307,0.00307
142,10405.9,0.57008,0.40578,1.00565,0.85855,0.88645,0.89777,0.69718,0.35061,0.20272,0.36156,0.0030205,0.0030205,0.0030205
143,10480.3,0.57375,0.40881,1.00802,0.8583,0.88633,0.89788,0.69788,0.34979,0.20265,0.36144,0.002971,0.002971,0.002971
144,10554,0.56624,0.40336,1.00792,0.85589,0.88714,0.89742,0.69835,0.34984,0.2036,0.36203,0.0029215,0.0029215,0.0029215
145,10627.5,0.56399,0.40114,1.00345,0.85169,0.88832,0.8972,0.69792,0.34987,0.20547,0.36238,0.002872,0.002872,0.002872
146,10700.2,0.55952,0.39877,1.00054,0.85175,0.88838,0.8978,0.6989,0.34991,0.2049,0.36285,0.0028225,0.0028225,0.0028225
147,10774.3,0.55721,0.39905,0.99972,0.85302,0.8867,0.89834,0.6992,0.34993,0.20612,0.36323,0.002773,0.002773,0.002773
148,10848,0.55242,0.39467,0.99981,0.84432,0.89687,0.89937,0.70004,0.34962,0.20452,0.36326,0.0027235,0.0027235,0.0027235
149,10921.6,0.55327,0.39719,1.00071,0.84419,0.89697,0.89963,0.69926,0.34972,0.20554,0.36359,0.002674,0.002674,0.002674
150,10994.4,0.54976,0.39414,0.99784,0.84152,0.89837,0.9005,0.69856,0.3492,0.20441,0.36335,0.0026245,0.0026245,0.0026245
151,11067,0.5538,0.39492,1.00009,0.83746,0.89945,0.90076,0.69826,0.34883,0.20464,0.3632,0.002575,0.002575,0.002575
152,11139.8,0.54571,0.38993,0.99207,0.8381,0.89891,0.90063,0.69812,0.34871,0.20074,0.36335,0.0025255,0.0025255,0.0025255
153,11212.6,0.54726,0.39199,0.99579,0.83681,0.89703,0.90068,0.69812,0.34862,0.19918,0.36366,0.002476,0.002476,0.002476
154,11285.6,0.5429,0.38495,0.98907,0.83679,0.89725,0.90087,0.69898,0.34884,0.19974,0.36387,0.0024265,0.0024265,0.0024265
155,11358.3,0.54164,0.38817,0.98938,0.83317,0.88964,0.90027,0.7001,0.34918,0.2014,0.36469,0.002377,0.002377,0.002377
156,11432.5,0.53934,0.38333,0.99001,0.83445,0.89003,0.90472,0.70012,0.34945,0.20346,0.36495,0.0023275,0.0023275,0.0023275
157,11506.2,0.53711,0.38106,0.98745,0.83794,0.89942,0.90459,0.70052,0.34955,0.20493,0.3653,0.002278,0.002278,0.002278
158,11580.2,0.53169,0.3819,0.98696,0.8391,0.88936,0.90428,0.70087,0.34944,0.20556,0.36519,0.0022285,0.0022285,0.0022285
159,11653.8,inf,0.37996,0.98651,0.83918,0.88936,0.90472,0.70331,0.34951,0.20646,0.36539,0.002179,0.002179,0.002179
160,11727.5,0.5331,0.38244,0.98602,0.83958,0.88989,0.90473,0.70258,0.34956,0.20702,0.36555,0.0021295,0.0021295,0.0021295
161,11800.2,0.5283,0.37567,0.98215,0.91917,0.82046,0.90347,0.70144,0.35007,0.20549,0.36613,0.00208,0.00208,0.00208
162,11872.9,0.52569,0.37392,0.981,0.91794,0.82112,0.9033,0.69974,0.34972,0.2065,0.3665,0.0020305,0.0020305,0.0020305
163,11945.7,0.52448,0.37549,0.98495,0.91825,0.82329,0.90433,0.70171,0.35003,0.20774,0.36653,0.001981,0.001981,0.001981
164,12018.7,0.5166,0.36861,0.97709,0.91556,0.82367,0.90431,0.70096,0.34998,0.20924,0.36651,0.0019315,0.0019315,0.0019315
165,12091.4,0.51848,0.37127,0.97613,0.91377,0.82385,0.90397,0.70044,0.34962,0.21193,0.36645,0.001882,0.001882,0.001882
166,12164.1,0.51539,0.36682,0.97593,0.91192,0.82417,0.90465,0.70101,0.34921,0.21291,0.36642,0.0018325,0.0018325,0.0018325
167,12236.7,0.50928,0.36689,0.97165,0.91141,0.82372,0.90482,0.70177,0.34927,0.21446,0.3666,0.001783,0.001783,0.001783
168,12309.5,0.5093,0.36228,0.97191,0.91108,0.8242,0.90484,0.70036,0.34948,0.21883,0.36745,0.0017335,0.0017335,0.0017335
169,12382.1,0.50878,0.36389,0.97381,0.9143,0.82373,0.9055,0.69993,0.34946,0.22075,0.36765,0.001684,0.001684,0.001684
170,12454.8,0.50517,0.35999,0.97122,0.91434,0.82382,0.90549,0.69987,0.34929,0.22191,0.36755,0.0016345,0.0016345,0.0016345
171,12527.7,0.50183,0.36031,0.97272,0.91393,0.82396,0.90547,0.69992,0.34915,0.22256,0.36797,0.001585,0.001585,0.001585
172,12600.6,0.49918,0.3545,0.9669,0.91261,0.82534,0.90474,0.7007,0.34917,0.22307,0.36836,0.0015355,0.0015355,0.0015355
173,12673.2,0.49803,0.35863,0.96742,0.84541,0.88934,0.90472,0.69975,0.34933,0.22343,0.36845,0.001486,0.001486,0.001486
174,12745.9,0.49653,0.35407,0.96781,0.91257,0.8245,0.90421,0.70038,0.34938,0.22325,0.36857,0.0014365,0.0014365,0.0014365
175,12818.6,0.48763,0.35214,0.96663,0.91143,0.82612,0.90417,0.69982,0.34963,0.22316,0.36882,0.001387,0.001387,0.001387
176,12891.3,0.48539,0.35177,0.96519,0.91166,0.82588,0.90415,0.69952,0.34979,0.22357,0.36891,0.0013375,0.0013375,0.0013375
177,12963.9,0.49226,0.35482,0.96926,0.91255,0.82495,0.90412,0.70138,0.34981,0.22498,0.3692,0.001288,0.001288,0.001288
178,13036.5,0.48441,0.34825,0.96593,0.91652,0.82509,0.90419,0.70022,0.34983,0.2242,0.36923,0.0012385,0.0012385,0.0012385
179,13109.2,0.48439,0.34758,0.96261,0.91611,0.82515,0.9044,0.70119,0.34993,0.22303,0.36965,0.001189,0.001189,0.001189
