epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2052.64,1.2213,1.05808,1.49743,0.89437,0.65974,0.82485,0.59624,0.36157,2.46757,0.36677,0.007921,0.007921,0.007921
44,2100.31,1.2215,1.06142,1.4947,0.79796,0.75147,0.84994,0.60519,0.35972,3.01668,0.36043,0.0078715,0.0078715,0.0078715
45,2148.21,1.20987,1.05238,1.48948,0.78288,0.73755,0.83201,0.5804,0.36466,4.56676,0.36393,0.007822,0.007822,0.007822
46,2195.85,1.21185,1.04161,1.48468,0.75768,0.79412,0.84304,0.60605,0.35524,4.43395,0.35215,0.0077725,0.0077725,0.0077725
47,2243.54,1.20275,1.0318,1.47971,0.81622,0.73907,0.84194,0.59466,0.36435,2.19303,0.36357,0.007723,0.007723,0.007723
48,2290.91,1.18922,1.02244,1.47102,0.82308,0.7216,0.82278,0.58182,0.37503,2.74852,0.36772,0.0076735,0.0076735,0.0076735
49,2338.35,1.19479,1.0182,1.47334,0.87636,0.68687,0.83113,0.58325,0.3602,1.65512,0.35638,0.007624,0.007624,0.007624
50,2385.73,1.19211,1.01826,1.47055,0.78159,0.78971,0.84925,0.59788,0.3655,1.46286,0.36329,0.0075745,0.0075745,0.0075745
51,2433.11,1.17654,0.99506,1.45924,0.91264,0.70499,0.84914,0.60319,0.36839,2.42089,0.36045,0.007525,0.007525,0.007525
52,2480.52,1.18019,0.99993,1.45985,0.83875,0.71459,0.82583,0.59131,0.36594,3.11193,0.36336,0.0074755,0.0074755,0.0074755
53,2527.81,1.17461,0.98676,1.45067,0.89038,0.70384,0.84378,0.59698,0.36806,1.74413,0.36298,0.007426,0.007426,0.007426
54,2575.19,1.16552,0.98054,1.4442,0.83639,0.73649,0.84241,0.60126,0.3553,2.72684,0.35573,0.0073765,0.0073765,0.0073765
55,2622.7,1.16524,0.9766,1.44665,0.81099,0.76164,0.84626,0.61125,0.35558,2.76242,0.3551,0.007327,0.007327,0.007327
56,2670.32,1.15958,0.97034,1.43584,0.89382,0.72058,0.85167,0.60819,0.35956,2.91271,0.35896,0.0072775,0.0072775,0.0072775
57,2717.9,1.15536,0.97002,1.44037,0.85383,0.70045,0.83869,0.60697,0.35843,2.45432,0.35842,0.007228,0.007228,0.007228
58,2765.16,1.15064,0.96127,1.436,0.83192,0.72964,0.8557,0.61159,0.3643,1.52524,0.36314,0.0071785,0.0071785,0.0071785
59,2812.72,1.14491,0.95235,1.42523,0.82707,0.78054,0.86388,0.61666,0.35858,1.71318,0.36116,0.007129,0.007129,0.007129
60,2860.59,1.14338,0.94538,1.42854,0.84284,0.75346,0.85551,0.6322,0.34882,2.29944,0.35182,0.0070795,0.0070795,0.0070795
61,2908.26,1.13795,0.93739,1.4187,0.8177,0.77304,0.86814,0.636,0.35383,1.90133,0.35294,0.00703,0.00703,0.00703
62,2956.05,1.13655,0.93296,1.41849,0.88908,0.73187,0.85991,0.62888,0.35035,1.29756,0.34994,0.0069805,0.0069805,0.0069805
63,3003.4,1.1321,0.92997,1.42216,0.79948,0.83119,0.87264,0.63601,0.35073,1.45845,0.35108,0.006931,0.006931,0.006931
64,3050.91,1.12476,0.9265,1.41385,0.76681,0.80146,0.86037,0.63332,0.35106,2.40547,0.35082,0.0068815,0.0068815,0.0068815
65,3098.48,1.12115,0.9235,1.40298,0.83519,0.80468,0.87823,0.64351,0.35659,1.31701,0.35632,0.006832,0.006832,0.006832
66,3145.87,1.10728,0.90781,1.39931,0.89216,0.70963,0.86323,0.63569,0.35942,1.08398,0.3561,0.0067825,0.0067825,0.0067825
67,3193.18,1.1102,0.91512,1.39994,0.86694,0.76662,0.87864,0.63001,0.35192,1.73344,0.35122,0.006733,0.006733,0.006733
68,3240.68,1.10342,0.89457,1.39008,0.87302,0.73708,0.87515,0.6241,0.35884,1.14797,0.35685,0.0066835,0.0066835,0.0066835
